,CAMIS,DBA,PHONE,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,target
0,30075445,MORRIS PARK BAKE SHOP,7188924968,BRONX,1007,MORRIS PARK AVE,10462,Bakery,0
1,30112340,WENDY'S,7182875005,BROOKLYN,469,FLATBUSH AVENUE,11225,Hamburgers,0
2,30191841,DJ REYNOLDS PUB AND RESTAURANT,2122452912,MANHATTAN,351,WEST   57 STREET,10019,Irish,0
3,40356018,RIVIERA CATERERS,7183723031,BROOKLYN,2780,STILLWELL AVENUE,11224,American,0
4,40356151,BRUNOS ON THE BOULEVARD,7183350505,QUEENS,8825,ASTORIA BOULEVARD,11369,American,0
5,40356483,WILKEN'S FINE FOOD,7184443838,BROOKLYN,7114,AVENUE U,11234,Delicatessen,0
6,40356731,TASTE THE TROPICS ICE CREAM,7188560821,BROOKLYN,1839,NOSTRAND AVENUE,11226,"Ice Cream, Gelato, Yogurt, Ices",0
7,40357217,WILD ASIA,7182207846,BRONX,2300,SOUTHERN BOULEVARD,10460,American,0
8,40359480,1 EAST 66TH STREET KITCHEN,2128793900,MANHATTAN,1,EAST   66 STREET,10065,American,0
9,40359705,NATHAN'S FAMOUS,7183332202,BROOKLYN,1310,SURF AVENUE,11224,Hotdogs,0
10,40360045,SEUDA FOODS,7183751500,BROOKLYN,705,KINGS HIGHWAY,11223,Jewish/Kosher,0
11,40360076,CARVEL ICE CREAM,7184389501,BROOKLYN,203,CHURCH AVENUE,11218,"Ice Cream, Gelato, Yogurt, Ices",0
12,40361322,CARVEL ICE CREAM,7183430392,QUEENS,26515,HILLSIDE AVENUE,11004,"Ice Cream, Gelato, Yogurt, Ices",1
13,40361618,SAL'S DELI,7186619498,QUEENS,12908,20 AVENUE,11356,Delicatessen,1
14,40361998,STEVE CHU'S DELI & GROCERY,7187268888,QUEENS,3406,10 STREET,11106,Delicatessen,0
15,40362098,HARRIET'S KITCHEN,2127210045,MANHATTAN,502,AMSTERDAM AVENUE,10024,American,0
16,40362264,P & S DELI GROCERY,2129323030,MANHATTAN,730,COLUMBUS AVENUE,10025,American,0
17,40362274,ANGELIKA FILM CENTER,2129952570,MANHATTAN,18,WEST HOUSTON STREET,10012,American,1
18,40362432,HO MEI RESTAURANT,7187796903,QUEENS,10305,37 AVENUE,11368,Chinese,0
19,40362715,THE COUNTRY CAFE,3474279132,MANHATTAN,60,WALL STREET,10005,Sandwiches/Salads/Mixed Buffet,1
20,40362869,SHASHEMENE INT'L RESTAURANT,3474300871,BROOKLYN,195,EAST   56 STREET,11203,Caribbean,0
21,40363098,DUNKIN' DONUTS,7186252068,BROOKLYN,56,COURT STREET,11201,Donuts,1
22,40363298,CAFE METRO,2127149342,MANHATTAN,625,8 AVENUE,10018,American,0
23,40363333,TONY'S DELI,7183867925,QUEENS,1069,WYCKOFF AVENUE,11385,Delicatessen,0
24,40363426,LEXLER DELI,2126870820,MANHATTAN,405,LEXINGTON AVENUE,10174,Sandwiches/Salads/Mixed Buffet,0
25,40363427,BAGELS N BUNS,7187611900,STATEN ISLAND,2491,VICTORY BOULEVARD,10314,Delicatessen,0
26,40363565,HOT BAGELS,7183268510,QUEENS,7905,METROPOLITAN AVENUE,11379,Bagels/Pretzels,1
27,40363630,LORENZO & MARIA'S,2127941080,MANHATTAN,1418,THIRD AVENUE,10028,Continental,1
28,40363685,BERKELEY,2128328121,MANHATTAN,437,MADISON AVENUE,10022,American,0
29,40363744,SONNY'S HEROS,7184859810,BROOKLYN,1031,EAST   92 STREET,11236,American,0
30,40363834,CARVEL ICE CREAM,7188167807,STATEN ISLAND,1111,HYLAN BOULEVARD,10305,"Ice Cream, Gelato, Yogurt, Ices",0
31,40363920,NEW GOLDEN BILLION,7187357707,BROOKLYN,976,RUTLAND ROAD,11212,Chinese,0
32,40363945,DOMINO'S,2125010200,MANHATTAN,148,WEST   72 STREET,10023,Pizza,0
33,40364149,AUNTIE ANNE'S PRETZELS,2122396882,MANHATTAN,0,34 STREET,10001,Bagels/Pretzels,1
34,40364179,SPOONBREAD TOO,2128656744,MANHATTAN,364,WEST  110 STREET,10025,Soul Food,1
35,40364220,KOSHER BAGEL HOLE,7182584150,BROOKLYN,1423,AVENUE J,11230,Jewish/Kosher,0
36,40364286,PLAZA BAGELS & DELI,7183513906,STATEN ISLAND,73,NEW DORP PLAZA,10306,Bagels/Pretzels,0
37,40364296,HAPPY GARDEN,7182955588,BRONX,277,EAST KINGSBRIDGE ROAD,10458,Chinese,0
38,40364299,B & M HOT BAGEL & GROCERY,7189668445,STATEN ISLAND,203,GIFFORDS LANE,10308,Delicatessen,1
39,40364305,PHILADELPHIA GRILLE EXPRESS,7182380747,BROOKLYN,10004,4 AVENUE,11209,Pizza/Italian,0
40,40364335,PETER LUGER STEAKHOUSE,7183877400,BROOKLYN,178,BROADWAY,11211,Steak,1
41,40364347,METROPOLITAN CLUB,2128387400,MANHATTAN,1,EAST   60 STREET,10022,American,1
42,40364362,21 CLUB,2125827200,MANHATTAN,21,WEST   52 STREET,10019,American,0
43,40364363,MANHEM CLUB,7188228965,BRONX,658,CLARENCE AVE,10465,American,0
44,40364373,ISLE OF CAPRI RESTURANT,2127581902,MANHATTAN,1028,3 AVENUE,10065,Italian,0
45,40364389,OLD TOWN BAR & RESTAURANT,2125296732,MANHATTAN,45,EAST   18 STREET,10003,American,1
46,40364404,POLISH NATIONAL HOME,7183875252,BROOKLYN,261,DRIGGS AVENUE,11222,Polish,1
